Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR002729	CRISPR-associated protein Cas1	interpro	family		MF_01470,PF01867,TIGR00287	GO:0003676,GO:0004519,GO:0046872,GO:0043571,GO:0051607
IPR002764	CRISPR-associated protein Cas7/Cst2/DevR, subtype I-a/Apern	interpro	family		TIGR02583	
IPR005510	CRISPR type III-associated RAMP protein Csm4	interpro	family		TIGR01903	
IPR005537	CRISPR type III-associated protein	interpro	family		PF03787	
IPR006482	CRISPR-associated protein Cas7, subtype I-B/I-C	interpro	family		TIGR01595,PF05107	GO:0043571
IPR007522	CRISPR-associated protein TM1795	interpro	family		TIGR01894	
IPR009260	CRISPR-associated exonuclease Csa1	interpro	family		PF06023,PIRSF009226,TIGR01896	
IPR010144	CRISPR-associated protein, Csd1-type	interpro	family		PF09709,TIGR01863	
IPR010146	CRISPR-associated protein, Csn2-type	interpro	family		PF09711,TIGR01866	
IPR010147	CRISPR-associated protein, CasD	interpro	family		TIGR01868	GO:0003723,GO:0051607
IPR010148	CRISPR-associated protein, CT1975	interpro	family		cd09646,PF09344,TIGR01869	
IPR010149	CRISPR-associated protein, Csm2 Type III-A	interpro	family		PF03750,cd09647,TIGR01870	
IPR010152	CRISPR-associated protein Cas2 subtype	interpro	family		PF09707,TIGR01873	
IPR010153	CRISPR-associated protein, Cas5a type	interpro	family		TIGR01874	
IPR010154	CRISPR-associated protein Cas7/Cst2/DevR	interpro	family		TIGR01875,PF01905	
IPR010155	CRISPR pre-crRNA endoribonuclease Cas5d	interpro	family		PIRSF029950,TIGR01876	GO:0004519,GO:0051607
IPR010156	CRISPR-associated endoribonuclease Cas6	interpro	family		PTHR36984,PIRSF005054,TIGR01877	GO:0016788
IPR010157	CRISPR type I-A/APERN-associated protein Csa5	interpro	family		PF09702,TIGR01878	
IPR010160	CRISPR-associated protein, Cmr5	interpro	family		PF09701,TIGR01881	
IPR010163	CRISPR-associated CARF protein Csa3	interpro	family		TIGR01884	
IPR010165	Type III-B CRISPR module-associated protein Cmr3	interpro	family		TIGR01888	
IPR010171	CRISPR system endoribonuclease Csx1	interpro	family		TIGR01897	
